landsat_id,landsat_date,landsat_cloud_pct,s2_id,s2_date,s2_cloud_pct,delta_days,abs_delta_days
1_LC08_192023_20170526,2017-05-26,68.55,20170527T102031_20170527T102301_T32UQD,2017-05-27,0.012276,-1,1
1_LC08_192023_20170611,2017-06-11,22.52,20170613T101031_20170613T101025_T32UQD,2017-06-13,100.0,-2,2
1_LC08_192023_20170627,2017-06-27,71.44,20170626T102021_20170626T102321_T32UQD,2017-06-26,41.8463,1,1
1_LC08_192023_20170713,2017-07-13,70.06,20170713T101031_20170713T101119_T32UQD,2017-07-13,78.2025,0,0
1_LC08_192023_20170729,2017-07-29,82.81,20170726T102021_20170726T102259_T33UUT,2017-07-26,100.0,3,3
1_LC08_192023_20170814,2017-08-14,41.06,20170815T102021_20170815T102513_T32UQD,2017-08-15,13.9676,-1,1
1_LC08_192023_20170830,2017-08-30,0.01,20170830T102019_20170830T102531_T33UVT,2017-08-30,0.034358,0,0
1_LC08_192023_20170915,2017-09-15,49.8,20170914T102021_20170914T102020_T32UQD,2017-09-14,93.2701,1,1
1_LC08_192023_20171001,2017-10-01,30.85,20171001T101021_20171001T101350_T32UQD,2017-10-01,100.0,0,0
1_LC08_192023_20171017,2017-10-17,5.74,20171016T101009_20171016T101010_T32UQD,2017-10-16,0.000528,1,1
1_LC08_192023_20180206,2018-02-06,50.56,20180206T102209_20180206T102206_T32UQD,2018-02-06,6.0068,0,0
1_LC08_192023_20180222,2018-02-22,63.51,20180221T102031_20180221T102033_T32UQD,2018-02-21,95.856,1,1
1_LC08_192023_20180310,2018-03-10,98.14,20180310T101021_20180310T101020_T32UQD,2018-03-10,100.0,0,0
1_LC08_192023_20180411,2018-04-11,86.38,20180412T102021_20180412T102024_T32UQD,2018-04-12,99.036756,-1,1
1_LC08_192023_20180427,2018-04-27,57.53,20180427T102019_20180427T102022_T32UQD,2018-04-27,20.758316,0,0
1_LC08_192023_20180513,2018-05-13,0.08,20180512T102031_20180512T102148_T32UQD,2018-05-12,51.008669,1,1
